WHO_region,Date_reported,New_cases,New_deaths
AFRO,2020-01-03,0,0
AMRO,2020-01-03,0,0
EMRO,2020-01-03,0,0
EURO,2020-01-03,0,0
SEARO,2020-01-03,0,0
WPRO,2020-01-03,0,0
AFRO,2020-01-04,0,0
AMRO,2020-01-04,0,0
EMRO,2020-01-04,0,0
EURO,2020-01-04,0,0
SEARO,2020-01-04,0,0
WPRO,2020-01-04,1,0
AFRO,2020-01-05,0,0
AMRO,2020-01-05,0,0
EMRO,2020-01-05,0,0
EURO,2020-01-05,0,0
SEARO,2020-01-05,0,0
WPRO,2020-01-05,0,0
AFRO,2020-01-06,0,0
AMRO,2020-01-06,0,0
EMRO,2020-01-06,0,0
EURO,2020-01-06,0,0
SEARO,2020-01-06,0,0
WPRO,2020-01-06,3,0
AFRO,2020-01-07,0,0
AMRO,2020-01-07,0,0
EMRO,2020-01-07,0,0
EURO,2020-01-07,0,0
SEARO,2020-01-07,0,0
WPRO,2020-01-07,0,0
AFRO,2020-01-08,0,0
AMRO,2020-01-08,0,0
EMRO,2020-01-08,0,0
EURO,2020-01-08,0,0
SEARO,2020-01-08,0,0
WPRO,2020-01-08,0,0
AFRO,2020-01-09,0,0
AMRO,2020-01-09,0,0
EMRO,2020-01-09,0,0
EURO,2020-01-09,0,0
SEARO,2020-01-09,0,0
WPRO,2020-01-09,0,0
AFRO,2020-01-10,0,0
AMRO,2020-01-10,0,0
EMRO,2020-01-10,0,0
EURO,2020-01-10,0,0
SEARO,2020-01-10,0,0
WPRO,2020-01-10,0,0
AFRO,2020-01-11,0,0
AMRO,2020-01-11,0,0
EMRO,2020-01-11,0,0
EURO,2020-01-11,0,0
SEARO,2020-01-11,0,0
WPRO,2020-01-11,0,0
AFRO,2020-01-12,0,0
AMRO,2020-01-12,0,0
EMRO,2020-01-12,0,0
EURO,2020-01-12,0,0
SEARO,2020-01-12,0,0
WPRO,2020-01-12,41,1
AFRO,2020-01-13,0,0
AMRO,2020-01-13,0,0
EMRO,2020-01-13,0,0
EURO,2020-01-13,0,0
SEARO,2020-01-13,5,0
WPRO,2020-01-13,0,0
AFRO,2020-01-14,0,0
AMRO,2020-01-14,0,0
EMRO,2020-01-14,0,0
EURO,2020-01-14,0,0
SEARO,2020-01-14,0,0
WPRO,2020-01-14,1,0
AFRO,2020-01-15,0,0
AMRO,2020-01-15,0,0
EMRO,2020-01-15,0,0
EURO,2020-01-15,0,0
SEARO,2020-01-15,0,0
WPRO,2020-01-15,0,0
AFRO,2020-01-16,0,0
AMRO,2020-01-16,0,0
EMRO,2020-01-16,0,0
EURO,2020-01-16,0,0
SEARO,2020-01-16,0,0
WPRO,2020-01-16,0,0
AFRO,2020-01-17,0,0
AMRO,2020-01-17,0,0
EMRO,2020-01-17,0,0
EURO,2020-01-17,0,0
SEARO,2020-01-17,1,0
WPRO,2020-01-17,4,1
AFRO,2020-01-18,0,0
AMRO,2020-01-18,0,0
EMRO,2020-01-18,0,0
EURO,2020-01-18,0,0
SEARO,2020-01-18,0,0
WPRO,2020-01-18,0,0
AFRO,2020-01-19,0,0
AMRO,2020-01-19,0,0
EMRO,2020-01-19,0,0
EURO,2020-01-19,0,0
SEARO,2020-01-19,0,0
WPRO,2020-01-19,81,1
AFRO,2020-01-20,0,0
AMRO,2020-01-20,5,0
EMRO,2020-01-20,0,0
EURO,2020-01-20,0,0
SEARO,2020-01-20,0,0
WPRO,2020-01-20,77,1
AFRO,2020-01-21,0,0
AMRO,2020-01-21,0,0
EMRO,2020-01-21,0,0
EURO,2020-01-21,0,0
SEARO,2020-01-21,0,0
WPRO,2020-01-21,93,2
AFRO,2020-01-22,0,0
AMRO,2020-01-22,0,0
EMRO,2020-01-22,0,0
EURO,2020-01-22,0,0
SEARO,2020-01-22,2,0
WPRO,2020-01-22,147,11
AFRO,2020-01-23,0,0
AMRO,2020-01-23,0,0
EMRO,2020-01-23,0,0
EURO,2020-01-23,0,0
SEARO,2020-01-23,5,0
WPRO,2020-01-23,132,1
AFRO,2020-01-24,0,0
AMRO,2020-01-24,1,0
EMRO,2020-01-24,0,0
EURO,2020-01-24,3,0
SEARO,2020-01-24,0,0
WPRO,2020-01-24,269,8
AFRO,2020-01-25,0,0
AMRO,2020-01-25,0,0
EMRO,2020-01-25,0,0
EURO,2020-01-25,0,0
SEARO,2020-01-25,0,0
WPRO,2020-01-25,469,16
AFRO,2020-01-26,0,0
AMRO,2020-01-26,3,0
EMRO,2020-01-26,0,0
EURO,2020-01-26,0,0
SEARO,2020-01-26,1,0
WPRO,2020-01-26,691,14
AFRO,2020-01-27,0,0
AMRO,2020-01-27,6,0
EMRO,2020-01-27,0,0
EURO,2020-01-27,0,0
SEARO,2020-01-27,8,0
WPRO,2020-01-27,782,26
AFRO,2020-01-28,0,0
AMRO,2020-01-28,1,0
EMRO,2020-01-28,0,0
EURO,2020-01-28,1,0
SEARO,2020-01-28,6,0
WPRO,2020-01-28,1771,49
AFRO,2020-01-29,0,0
AMRO,2020-01-29,0,0
EMRO,2020-01-29,8,0
EURO,2020-01-29,7,0
SEARO,2020-01-29,0,0
WPRO,2020-01-29,1469,2
AFRO,2020-01-30,0,0
AMRO,2020-01-30,1,0
EMRO,2020-01-30,0,0
EURO,2020-01-30,1,0
SEARO,2020-01-30,5,0
WPRO,2020-01-30,1750,38
AFRO,2020-01-31,0,0
AMRO,2020-01-31,2,0
EMRO,2020-01-31,0,0
EURO,2020-01-31,6,0
SEARO,2020-01-31,5,0
WPRO,2020-01-31,2000,42
AFRO,2020-02-01,0,0
AMRO,2020-02-01,1,0
EMRO,2020-02-01,1,0
EURO,2020-02-01,4,0
SEARO,2020-02-01,0,0
WPRO,2020-02-01,2109,46
AFRO,2020-02-02,0,0
AMRO,2020-02-02,0,0
EMRO,2020-02-02,0,0
EURO,2020-02-02,5,0
SEARO,2020-02-02,1,0
WPRO,2020-02-02,2601,103
AFRO,2020-02-03,0,0
AMRO,2020-02-03,3,0
EMRO,2020-02-03,0,0
EURO,2020-02-03,1,0
SEARO,2020-02-03,1,0
WPRO,2020-02-03,2834,64
AFRO,2020-02-04,0,0
AMRO,2020-02-04,0,0
EMRO,2020-02-04,0,0
EURO,2020-02-04,3,0
SEARO,2020-02-04,6,0
WPRO,2020-02-04,3235,66
AFRO,2020-02-05,0,0
AMRO,2020-02-05,1,0
EMRO,2020-02-05,0,0
EURO,2020-02-05,1,0
SEARO,2020-02-05,0,0
WPRO,2020-02-05,3908,72
AFRO,2020-02-06,0,0
AMRO,2020-02-06,1,0
EMRO,2020-02-06,0,0
EURO,2020-02-06,0,0
SEARO,2020-02-06,0,0
WPRO,2020-02-06,3712,70
AFRO,2020-02-07,0,0
AMRO,2020-02-07,2,0
EMRO,2020-02-07,0,0
EURO,2020-02-07,2,0
SEARO,2020-02-07,0,0
WPRO,2020-02-07,3159,85
AFRO,2020-02-08,0,0
AMRO,2020-02-08,0,0
EMRO,2020-02-08,2,0
EURO,2020-02-08,6,0
SEARO,2020-02-08,0,0
WPRO,2020-02-08,3392,87
AFRO,2020-02-09,0,0
AMRO,2020-02-09,0,0
EMRO,2020-02-09,0,0
EURO,2020-02-09,0,0
SEARO,2020-02-09,0,0
WPRO,2020-02-09,2664,100
AFRO,2020-02-10,0,0
AMRO,2020-02-10,0,0
EMRO,2020-02-10,1,0
EURO,2020-02-10,4,0
SEARO,2020-02-10,0,0
WPRO,2020-02-10,2989,107
AFRO,2020-02-11,0,0
AMRO,2020-02-11,1,0
EMRO,2020-02-11,0,0
EURO,2020-02-11,2,0
SEARO,2020-02-11,8,0
WPRO,2020-02-11,2478,100
AFRO,2020-02-12,0,0
AMRO,2020-02-12,0,0
EMRO,2020-02-12,0,0
EURO,2020-02-12,2,0
SEARO,2020-02-12,0,0
WPRO,2020-02-12,2027,5
AFRO,2020-02-13,0,0
AMRO,2020-02-13,2,0
EMRO,2020-02-13,0,0
EURO,2020-02-13,1,1
SEARO,2020-02-13,0,0
WPRO,2020-02-13,15155,253
AFRO,2020-02-14,0,0
AMRO,2020-02-14,0,0
EMRO,2020-02-14,5,0
EURO,2020-02-14,3,0
SEARO,2020-02-14,0,0
WPRO,2020-02-14,4065,152
AFRO,2020-02-15,0,0
AMRO,2020-02-15,0,0
EMRO,2020-02-15,0,0
EURO,2020-02-15,0,1
SEARO,2020-02-15,1,0
WPRO,2020-02-15,2660,142
AFRO,2020-02-16,0,0
AMRO,2020-02-16,0,0
EMRO,2020-02-16,1,0
EURO,2020-02-16,0,0
SEARO,2020-02-16,0,0
WPRO,2020-02-16,2029,104
AFRO,2020-02-17,0,0
AMRO,2020-02-17,1,0
EMRO,2020-02-17,0,0
EURO,2020-02-17,1,0
SEARO,2020-02-17,1,0
WPRO,2020-02-17,2060,98
AFRO,2020-02-18,0,0
AMRO,2020-02-18,0,0
EMRO,2020-02-18,0,0
EURO,2020-02-18,0,0
SEARO,2020-02-18,0,0
WPRO,2020-02-18,1904,139
AFRO,2020-02-19,0,0
AMRO,2020-02-19,0,0
EMRO,2020-02-19,0,0
EURO,2020-02-19,0,0
SEARO,2020-02-19,0,0
WPRO,2020-02-19,1782,113
AFRO,2020-02-20,0,0
AMRO,2020-02-20,0,0
EMRO,2020-02-20,9,2
EURO,2020-02-20,0,0
SEARO,2020-02-20,0,0
WPRO,2020-02-20,432,123
AFRO,2020-02-21,0,0
AMRO,2020-02-21,19,0
EMRO,2020-02-21,20,2
EURO,2020-02-21,1,0
SEARO,2020-02-21,0,0
WPRO,2020-02-21,1035,0
AFRO,2020-02-22,0,0
AMRO,2020-02-22,2,0
EMRO,2020-02-22,12,1
EURO,2020-02-22,14,0
SEARO,2020-02-22,0,0
WPRO,2020-02-22,1073,206
AFRO,2020-02-23,0,0
AMRO,2020-02-23,0,0
EMRO,2020-02-23,15,3
EURO,2020-02-23,65,2
SEARO,2020-02-23,0,0
WPRO,2020-02-23,849,2
AFRO,2020-02-24,0,0
AMRO,2020-02-24,19,0
EMRO,2020-02-24,44,0
EURO,2020-02-24,55,0
SEARO,2020-02-24,0,0
WPRO,2020-02-24,463,155
AFRO,2020-02-25,5,0
AMRO,2020-02-25,0,0
EMRO,2020-02-25,64,7
EURO,2020-02-25,99,4
SEARO,2020-02-25,2,0
WPRO,2020-02-25,674,72
AFRO,2020-02-26,0,0
AMRO,2020-02-26,12,0
EMRO,2020-02-26,66,4
EURO,2020-02-26,110,5
SEARO,2020-02-26,0,0
WPRO,2020-02-26,705,56
AFRO,2020-02-27,0,0
AMRO,2020-02-27,0,0
EMRO,2020-02-27,150,7
EURO,2020-02-27,105,2
SEARO,2020-02-27,3,0
WPRO,2020-02-27,969,32
AFRO,2020-02-28,5,0
AMRO,2020-02-28,9,0
EMRO,2020-02-28,153,8
EURO,2020-02-28,331,5
SEARO,2020-02-28,1,0
WPRO,2020-02-28,359,44
AFRO,2020-02-29,0,0
AMRO,2020-02-29,8,0
EMRO,2020-02-29,222,9
EURO,2020-02-29,327,5
SEARO,2020-02-29,1,0
WPRO,2020-02-29,1839,52
AFRO,2020-03-01,0,0
AMRO,2020-03-01,6,0
EMRO,2020-03-01,13,0
EURO,2020-03-01,419,8
SEARO,2020-03-01,0,1
WPRO,2020-03-01,1178,38
AFRO,2020-03-02,7,0
AMRO,2020-03-02,25,0
EMRO,2020-03-02,420,23
EURO,2020-03-02,685,6
SEARO,2020-03-02,9,0
WPRO,2020-03-02,705,46
AFRO,2020-03-03,2,0
AMRO,2020-03-03,14,0
EMRO,2020-03-03,1393,11
EURO,2020-03-03,567,18
SEARO,2020-03-03,0,0
WPRO,2020-03-03,748,39
AFRO,2020-03-04,0,0
AMRO,2020-03-04,71,5
EMRO,2020-03-04,600,17
EURO,2020-03-04,767,29
SEARO,2020-03-04,22,0
WPRO,2020-03-04,666,41
AFRO,2020-03-05,15,0
AMRO,2020-03-05,29,4
EMRO,2020-03-05,22,0
EURO,2020-03-05,1073,30
SEARO,2020-03-05,6,0
WPRO,2020-03-05,641,35
AFRO,2020-03-06,11,0
AMRO,2020-03-06,5,0
EMRO,2020-03-06,1869,34
EURO,2020-03-06,1516,46
SEARO,2020-03-06,6,0
WPRO,2020-03-06,720,36
AFRO,2020-03-07,6,0
AMRO,2020-03-07,126,3
EMRO,2020-03-07,1138,21
EURO,2020-03-07,1870,54
SEARO,2020-03-07,8,0
WPRO,2020-03-07,697,30
AFRO,2020-03-08,1,0
AMRO,2020-03-08,38,0
EMRO,2020-03-08,793,52
EURO,2020-03-08,2203,41
SEARO,2020-03-08,19,0
WPRO,2020-03-08,489,35
AFRO,2020-03-09,0,0
AMRO,2020-03-09,284,8
EMRO,2020-03-09,40,0
EURO,2020-03-09,2612,147
SEARO,2020-03-09,0,0
WPRO,2020-03-09,366,28
AFRO,2020-03-10,8,0
AMRO,2020-03-10,248,6
EMRO,2020-03-10,1565,98
EURO,2020-03-10,3361,129
SEARO,2020-03-10,27,0
WPRO,2020-03-10,233,19
AFRO,2020-03-11,11,0
AMRO,2020-03-11,60,2
EMRO,2020-03-11,1082,64
EURO,2020-03-11,3255,193
SEARO,2020-03-11,25,1
WPRO,2020-03-11,121,27
AFRO,2020-03-12,26,1
AMRO,2020-03-12,319,4
EMRO,2020-03-12,1124,76
EURO,2020-03-12,5956,259
SEARO,2020-03-12,37,0
WPRO,2020-03-12,635,25
AFRO,2020-03-13,7,0
AMRO,2020-03-13,475,8
EMRO,2020-03-13,1318,87
EURO,2020-03-13,7545,252
SEARO,2020-03-13,47,4
WPRO,2020-03-13,128,15
AFRO,2020-03-14,54,0
AMRO,2020-03-14,585,6
EMRO,2020-03-14,1851,97
EURO,2020-03-14,8064,342
SEARO,2020-03-14,7,1
WPRO,2020-03-14,317,24
AFRO,2020-03-15,63,0
AMRO,2020-03-15,234,1
EMRO,2020-03-15,1383,117
EURO,2020-03-15,9666,306
SEARO,2020-03-15,119,0
WPRO,2020-03-15,330,16
AFRO,2020-03-16,55,3
AMRO,2020-03-16,215,3
EMRO,2020-03-16,1192,130
EURO,2020-03-16,9137,556
SEARO,2020-03-16,103,1
WPRO,2020-03-16,438,20
AFRO,2020-03-17,37,0
AMRO,2020-03-17,2250,18
EMRO,2020-03-17,1376,138
EURO,2020-03-17,11936,556
SEARO,2020-03-17,42,0
WPRO,2020-03-17,339,25
AFRO,2020-03-18,108,3
AMRO,2020-03-18,4217,50
EMRO,2020-03-18,1622,153
EURO,2020-03-18,12971,625
SEARO,2020-03-18,90,1
WPRO,2020-03-18,479,22
AFRO,2020-03-19,80,1
AMRO,2020-03-19,3928,60
EMRO,2020-03-19,1220,151
EURO,2020-03-19,15752,822
SEARO,2020-03-19,255,21
WPRO,2020-03-19,738,16
AFRO,2020-03-20,43,4
AMRO,2020-03-20,5634,56
EMRO,2020-03-20,1569,154
EURO,2020-03-20,23123,968
SEARO,2020-03-20,102,8
WPRO,2020-03-20,426,12
AFRO,2020-03-21,231,7
AMRO,2020-03-21,827,18
EMRO,2020-03-21,1281,130
EURO,2020-03-21,23969,1182
SEARO,2020-03-21,278,7
WPRO,2020-03-21,805,22
AFRO,2020-03-22,60,1
AMRO,2020-03-22,27,0
EMRO,2020-03-22,1515,137
EURO,2020-03-22,24123,1553
SEARO,2020-03-22,310,11
WPRO,2020-03-22,649,23
AFRO,2020-03-23,170,3
AMRO,2020-03-23,17319,213
EMRO,2020-03-23,1782,138
EURO,2020-03-23,22351,1482
SEARO,2020-03-23,305,5
WPRO,2020-03-23,853,17
AFRO,2020-03-24,302,3
AMRO,2020-03-24,2827,56
EMRO,2020-03-24,2091,128
EURO,2020-03-24,26758,1643
SEARO,2020-03-24,120,5
WPRO,2020-03-24,989,30
AFRO,2020-03-25,297,3
AMRO,2020-03-25,20717,273
EMRO,2020-03-25,3143,157
EURO,2020-03-25,28027,2067
SEARO,2020-03-25,324,9
WPRO,2020-03-25,1135,16
AFRO,2020-03-26,564,2
AMRO,2020-03-26,18733,351
EMRO,2020-03-26,2871,166
EURO,2020-03-26,33294,2182
SEARO,2020-03-26,222,5
WPRO,2020-03-26,816,14
AFRO,2020-03-27,221,8
AMRO,2020-03-27,1824,10
EMRO,2020-03-27,3238,163
EURO,2020-03-27,38572,2418
SEARO,2020-03-27,543,34
WPRO,2020-03-27,1435,35
AFRO,2020-03-28,436,9
AMRO,2020-03-28,19172,301
EMRO,2020-03-28,4081,164
EURO,2020-03-28,40428,2918
SEARO,2020-03-28,0,0
WPRO,2020-03-28,1161,23
AFRO,2020-03-29,178,3
AMRO,2020-03-29,20163,476
EMRO,2020-03-29,3527,148
EURO,2020-03-29,37869,3045
SEARO,2020-03-29,504,36
WPRO,2020-03-29,1445,34
AFRO,2020-03-30,487,17
AMRO,2020-03-30,21425,480
EMRO,2020-03-30,3790,134
EURO,2020-03-30,31263,2661
SEARO,2020-03-30,621,16
WPRO,2020-03-30,1278,25
AFRO,2020-03-31,319,9
AMRO,2020-03-31,2267,73
EMRO,2020-03-31,941,27
EURO,2020-03-31,31351,3045
SEARO,2020-03-31,314,5
WPRO,2020-03-31,967,32
AFRO,2020-04-01,285,16
AMRO,2020-04-01,44052,816
EMRO,2020-04-01,3861,164
EURO,2020-04-01,41788,3467
SEARO,2020-04-01,796,45
WPRO,2020-04-01,1557,20
AFRO,2020-04-02,576,31
AMRO,2020-04-02,28619,1188
EMRO,2020-04-02,6934,294
EURO,2020-04-02,39127,3609
SEARO,2020-04-02,551,28
WPRO,2020-04-02,1372,25
AFRO,2020-04-03,575,38
AMRO,2020-04-03,30631,1109
EMRO,2020-04-03,3799,164
EURO,2020-04-03,37675,3652
SEARO,2020-04-03,317,17
WPRO,2020-04-03,1046,27
AFRO,2020-04-04,744,36
AMRO,2020-04-04,31873,1190
EMRO,2020-04-04,3550,174
EURO,2020-04-04,41265,5312
SEARO,2020-04-04,212,14
WPRO,2020-04-04,1533,56
AFRO,2020-04-05,429,37
AMRO,2020-04-05,36369,1399
EMRO,2020-04-05,4310,201
EURO,2020-04-05,38599,4295
SEARO,2020-04-05,1721,37
WPRO,2020-04-05,1019,29
AFRO,2020-04-06,288,8
AMRO,2020-04-06,35739,1463
EMRO,2020-04-06,1905,27
EURO,2020-04-06,29693,3216
SEARO,2020-04-06,972,46
WPRO,2020-04-06,-799,21
AFRO,2020-04-07,458,51
AMRO,2020-04-07,31930,1390
EMRO,2020-04-07,5732,284
EURO,2020-04-07,30721,3691
SEARO,2020-04-07,644,19
WPRO,2020-04-07,1073,27
AFRO,2020-04-08,474,31
AMRO,2020-04-08,30822,1374
EMRO,2020-04-08,3683,148
EURO,2020-04-08,35163,5143
SEARO,2020-04-08,1318,71
WPRO,2020-04-08,2999,36
AFRO,2020-04-09,647,23
AMRO,2020-04-09,40492,2358
EMRO,2020-04-09,3451,169
EURO,2020-04-09,39358,4064
SEARO,2020-04-09,1097,64
WPRO,2020-04-09,1182,22
AFRO,2020-04-10,401,34
AMRO,2020-04-10,37659,2232
EMRO,2020-04-10,1487,30
EURO,2020-04-10,40994,5019
SEARO,2020-04-10,822,57
WPRO,2020-04-10,1397,35
AFRO,2020-04-11,356,12
AMRO,2020-04-11,44242,2289
EMRO,2020-04-11,4227,178
EURO,2020-04-11,39624,4374
SEARO,2020-04-11,1564,72
WPRO,2020-04-11,1301,38
AFRO,2020-04-12,448,8
AMRO,2020-04-12,37044,2230
EMRO,2020-04-12,4963,275
EURO,2020-04-12,35273,3825
SEARO,2020-04-12,1499,87
WPRO,2020-04-12,1569,41
AFRO,2020-04-13,767,62
AMRO,2020-04-13,36593,2194
EMRO,2020-04-13,2500,56
EURO,2020-04-13,29294,3224
SEARO,2020-04-13,548,34
WPRO,2020-04-13,1283,64
AFRO,2020-04-14,408,34
AMRO,2020-04-14,34701,1834
EMRO,2020-04-14,5329,242
EURO,2020-04-14,27761,3373
SEARO,2020-04-14,2356,134
WPRO,2020-04-14,1404,39
AFRO,2020-04-15,616,23
AMRO,2020-04-15,28430,1785
EMRO,2020-04-15,3036,130
EURO,2020-04-15,34074,4210
SEARO,2020-04-15,1859,54
WPRO,2020-04-15,1399,40
AFRO,2020-04-16,503,28
AMRO,2020-04-16,30348,2779
EMRO,2020-04-16,5511,140
EURO,2020-04-16,33292,4794
SEARO,2020-04-16,1709,77
WPRO,2020-04-16,1367,38
AFRO,2020-04-17,443,23
AMRO,2020-04-17,39527,6948
EMRO,2020-04-17,4172,117
EURO,2020-04-17,36913,4142
SEARO,2020-04-17,718,40
WPRO,2020-04-17,1699,29
AFRO,2020-04-18,843,42
AMRO,2020-04-18,38775,2507
EMRO,2020-04-18,4778,114
EURO,2020-04-18,33881,3874
SEARO,2020-04-18,2697,91
WPRO,2020-04-18,1987,1330
AFRO,2020-04-19,546,10
AMRO,2020-04-19,39516,2962
EMRO,2020-04-19,4050,143
EURO,2020-04-19,34914,3772
SEARO,2020-04-19,2047,81
WPRO,2020-04-19,1855,23
AFRO,2020-04-20,1099,35
AMRO,2020-04-20,31868,2011
EMRO,2020-04-20,4134,139
EURO,2020-04-20,27405,2563
SEARO,2020-04-20,2290,44
WPRO,2020-04-20,1326,27
AFRO,2020-04-21,715,36
AMRO,2020-04-21,39707,2556
EMRO,2020-04-21,6634,142
EURO,2020-04-21,28692,2960
SEARO,2020-04-21,2230,93
WPRO,2020-04-21,2069,37
AFRO,2020-04-22,684,25
AMRO,2020-04-22,32005,2511
EMRO,2020-04-22,4398,147
EURO,2020-04-22,31839,3885
SEARO,2020-04-22,1702,70
WPRO,2020-04-22,1761,108
AFRO,2020-04-23,674,24
AMRO,2020-04-23,32242,3153
EMRO,2020-04-23,5255,132
EURO,2020-04-23,30271,3270
SEARO,2020-04-23,2265,59
WPRO,2020-04-23,1635,25
AFRO,2020-04-24,1430,44
AMRO,2020-04-24,38019,2939
EMRO,2020-04-24,4355,150
EURO,2020-04-24,32091,3048
SEARO,2020-04-24,3049,95
WPRO,2020-04-24,1879,51
AFRO,2020-04-25,1236,19
AMRO,2020-04-25,40579,2502
EMRO,2020-04-25,5306,110
EURO,2020-04-25,31279,3140
SEARO,2020-04-25,1892,67
WPRO,2020-04-25,1688,37
AFRO,2020-04-26,858,29
AMRO,2020-04-26,57286,2801
EMRO,2020-04-26,5921,146
EURO,2020-04-26,28800,3042
SEARO,2020-04-26,779,54
WPRO,2020-04-26,1169,37
AFRO,2020-04-27,1120,29
AMRO,2020-04-27,47283,2793
EMRO,2020-04-27,4525,21
EURO,2020-04-27,23202,1884
SEARO,2020-04-27,4607,131
WPRO,2020-04-27,1482,15
AFRO,2020-04-28,804,16
AMRO,2020-04-28,36881,1613
EMRO,2020-04-28,7379,275
EURO,2020-04-28,23239,2147
SEARO,2020-04-28,2588,76
WPRO,2020-04-28,1264,40
AFRO,2020-04-29,839,18
AMRO,2020-04-29,35690,2221
EMRO,2020-04-29,5109,154
EURO,2020-04-29,23579,2850
SEARO,2020-04-29,992,19
WPRO,2020-04-29,1064,39
AFRO,2020-04-30,1598,39
AMRO,2020-04-30,31658,2753
EMRO,2020-04-30,5799,107
EURO,2020-04-30,28345,2689
SEARO,2020-04-30,4356,154
WPRO,2020-04-30,1290,56
AFRO,2020-05-01,1455,21
AMRO,2020-05-01,47118,3995
EMRO,2020-05-01,7226,185
EURO,2020-05-01,28300,2311
SEARO,2020-05-01,3425,84
WPRO,2020-05-01,1099,34
AFRO,2020-05-02,1299,41
AMRO,2020-05-02,48384,3034
EMRO,2020-05-02,3731,115
EURO,2020-05-02,27180,2086
SEARO,2020-05-02,3207,107
WPRO,2020-05-02,1565,43
AFRO,2020-05-03,1948,62
AMRO,2020-05-03,43704,6205
EMRO,2020-05-03,8320,125
EURO,2020-05-03,26073,1987
SEARO,2020-05-03,3714,99
WPRO,2020-05-03,1041,59
